Position_Rank,Team_Name,Tackles,Sacks,Interceptions,INT_Touchdowns,Forced_Fumbles,FF_Touchdowns
23,Arizona,1105,49,7,0,13,2
24,Atlanta,1063,37,15,1,8,1
15,Baltimore,928,43,12,0,10,3
4,Buffalo,1045,36,16,0,24,1
21,Carolina,964,35,13,0,13,1
1,Chicago,944,50,27,5,19,1
28,Cincinnati,1106,34,12,3,11,2
14,Cleveland,1110,37,17,0,20,0
19,Dallas,1020,39,9,0,14,1
10,Denver,1048,44,17,2,13,0
22,Detroit,939,43,7,2,11,0
26,Green Bay,1025,44,7,1,11,0
11,Houston,1024,43,15,3,21,1
9,Indianapolis,1102,38,15,0,15,0
2,Jacksonville,951,37,11,2,8,0
17,Kansas City,1083,52,15,3,25,1
7,LA Chargers,1056,38,13,1,9,1
3,LA Rams,973,41,18,3,14,1
30,Miami,1080,31,21,3,12,0
5,Minnesota,1018,50,12,1,9,2
8,New England,1009,30,18,1,16,1
6,New Orleans,969,49,12,1,19,0
29,NY Giants,1101,30,16,3,13,0
20,NY Jets,1042,39,13,3,14,0
32,Oakland,1008,13,14,1,5,0
13,Philadelphia,982,44,10,0,12,0
16,Pittsburgh,1009,52,8,2,15,1
27,San Francisco,1031,37,2,1,13,0
25,Seattle,969,43,12,1,21,1
31,Tampa Bay,1026,38,9,0,13,2
12,Tennessee,1070,39,11,2,14,0
18,Washington,1048,46,15,0,20,1
