Position_Rank,Name,Team,Position,Passing_Yards,Passing_Touchdowns,Interceptions,Completion_Percentage,Rushing_Yards,Rushing_Touchdowns
3,Aaron Rodgers,GB,QB,4442,25,2,62.31,269,2
5,Andrew Luck,IND,QB,5018,42,16,66.2,194,0
25,Andy Dalton,CIN,QB,2566,21,11,61.92,99,0
7,Baker Mayfield,CLE,QB,3725,27,14,63.79,131,0
10,Ben Roethlisberger,PIT,QB,5129,34,16,66.96,98,3
6,Cam Newton,CAR,QB,3395,24,13,67.94,488,4
8,Carson Wentz,PHI,QB,3074,21,7,69.58,93,0
31,Case Keenum,WAS,QB,3890,18,15,62.29,93,2
11,Dak Prescott,DAL,QB,4376,24,9,67.34,337,8
22,Derek Carr,OAK,QB,4049,19,10,68.9,47,1
2,Deshaun Watson,HOU,QB,4190,25,10,66.98,557,4
9,Drew Brees,NO,QB,4542,36,7,73.72,20,4
26,Eli Manning,NYG,QB,4299,21,11,65.97,20,1
17,Jameis Winston,TB,QB,2992,19,14,64.55,281,1
13,Jared Goff,LAR,QB,5171,33,14,64.13,130,2
28,Joe Flacco,DEN,QB,2465,12,6,61.21,45,0
21,Josh Allen,BUF,QB,2074,10,12,52.81,631,8
27,Josh Rosen,MIA,QB,2278,11,14,55.22,138,0
19,Kirk Cousins,MIN,QB,4298,30,10,70.13,123,1
18,Lamar Jackson,BAL,QB,1395,8,4,56.78,753,5
24,Marcus Mariota,TEN,QB,2225,9,8,66.88,329,2
4,Matt Ryan,ATL,QB,4924,35,7,69.41,125,3
23,Matthew Stafford,DET,QB,3777,21,11,66.13,71,0
15,Mitchell Trubisky,CHI,QB,3526,25,12,66.04,430,3
29,Nick Foles,JAC,QB,1880,10,8,69.17,16,1
1,Patrick Mahomes,KC,QB,5670,53,12,65.34,291,3
16,Philip Rivers,LAC,QB,4799,35,13,66.67,22,0
12,Russell Wilson,SEA,QB,3681,36,7,65.64,390,1
30,Ryan Fitzpatrick,MIA,QB,2366,17,12,66.67,152,2
32,Ryan Tannehill,TEN,QB,1979,17,9,64.23,145,0
20,Sam Darnold,NYJ,QB,2865,17,15,57.73,138,1
14,Tom Brady,NE,QB,5046,31,13,66.52,33,2
