Position_Rank,Name,Team,Position,Rushing_Attempts,Rushing_Yards,Rushing_Touchdowns,Receptions,Receiving_Yards,Receiving_Touchdowns
15,Aaron Jones,GB,RB,133,728,8,26,206,1
4,Alvin Kamara,NO,RB,194,883,14,81,709,4
24,Carlos Hyde,CLE,RB,172,571,5,10,33,0
16,Chris Carson,SEA,RB,247,1151,9,20,163,0
3,Christian McCaffrey,CAR,RB,219,1098,7,107,867,6
10,Dalvin Cook,MIN,RB,133,615,2,40,305,2
6,David Johnson,ARI,RB,258,940,7,50,446,3
12,Derrick Henry,TEN,RB,215,1059,12,15,99,0
2,Ezekiel Elliott,DAL,RB,304,1434,6,77,567,3
8,James Conner,PIT,RB,215,973,12,55,497,1
9,Joe Mixon,CIN,RB,237,1168,8,43,296,1
22,Jordan Howard,CHI,RB,250,935,9,20,145,0
14,Kerryon Johnson,DET,RB,118,641,3,32,213,1
19,Lamar Miller,HOU,RB,210,973,5,25,163,1
21,Latavius Murray,MIN,RB,140,578,6,22,141,0
18,Mark Ingram,NO,RB,138,645,6,21,170,1
13,Marlon Mack,IND,RB,195,908,9,17,103,1
25,Matt Breida,SF,RB,153,814,3,27,261,2
5,Melvin Gordon,LAC,RB,175,885,10,50,490,4
11,Nick Chubb,CLE,RB,192,996,8,20,149,2
23,Peyton Barber,TB,RB,234,871,5,20,92,1
17,Phillip Lindsay,DEN,RB,192,1037,9,35,241,1
1,Saquon Barkley,NYG,RB,261,1307,11,91,721,4
20,Tevin Coleman,ATL,RB,167,800,4,2,17,0
7,Todd Gurley,LAR,RB,256,1251,17,59,400,1
